Name,Calories,Protein,Carbs,Fat,Sat Fat,Fiber,Measurement
Tofu,1.071428571,0.119047619,0.011904762,0.05952381,0.005952381,0,Gram
Edamame,1.517857143,0.107142857,0.142857143,0.053571429,0,0.053571429,Gram
Lima Beans,216,14.7,39.3,0.7,0.2,13.2,Cup
Kidney Beans,225,15.3,40.4,0.9,0.1,13.1,Cup
Black Beans,1.319767442,0.088372093,0.237209302,0.005232558,0.001162791,0.087209302,Cup
Flageolet Beans,600,40,108,2,0.8,44,Cup
Pinto Beans,245,15.4,44.8,1.1,0.2,15.4,Cup
Refried Beans,240,14,44,3,0,16,Cup
4% Cottage Cheese,163,28,10,9,6,0,Cup
1% Milk,110,9,13,2.5,1.5,0,Cup
Plain Yogurt,130,4,5,11,7,0,Cup
Canned Tuna,1.25,0.285714286,0,0.017857143,0,0,gram
Pacific Cod,1.055555556,0.23,0,0.007777778,0.001111111,0,Gram
Atlantic Cod,1.05,0.228333333,0,0.008333333,0.001666667,0,Gram
Yellowfin Tuna,1.388235294,0.3,0,0.011764706,0.003529412,0,Gram
Sole,1.173228346,0.241732283,0,0.01496063,0.003937008,0,Gram
Rockfish,1.208053691,0.240268456,0,0.020134228,0.004697987,0,Gram
Pink Salmon,1.491935484,0.255645161,0,0.044354839,0.007258065,0,Gram
Coho Salmon,1.46,0.2162,0,0.0593,0.0126,0,Gram
Trout,1.503496503,0.229370629,0,0.058041958,0.016083916,0,Gram
Sockeye Salmon,2.161290323,0.272903226,0,0.109677419,0.019354839,0,Gram
Jalapenos,0.285714286,0.014285714,0.057142857,0.007142857,0,0.028571429,Gram
Tomato,0.175824176,0.008791209,0.038461538,0.002197802,0,0.012087912,Item
Green Pepper,0.201342282,0.008724832,0.046308725,0.002013423,0.000671141,0.016778523,Gram
Grapes,0.217391304,0.007246377,0.173913043,0.007246377,0,0.007246377,Gram
Nectarine,62,1.5,15,0.5,0,2.4,Item
Kiwi,25,0.6,5.4,0,0,0.6,Item
Peach,38,0.9,9.3,0.2,0,1.5,Item
Orange,86,1.7,21.6,0.2,0,4.4,Item
Strawberries,0.342105263,0.006578947,0.075,0,0,0.013815789,Gram
Cherries,0.632478632,0.01025641,0.15982906,0.001709402,0,0.021367521,Gram
Avacado,1.670520231,0.01849711,0.086127168,0.15433526,0.021387283,0.068208092,Gram
Banana,110,1,29,0,0,4,Item
Mango,135,1.1,35.2,0.6,0.1,3.7,Item
Raisins,3.250883392,0.024734982,0.77385159,0,0,0.049469965,Gram
Pear,121,0.8,32.3,0.3,0,6.5,Item
Cherry Tomato,0.191780822,0,0.030136986,0,0,0.009589041,Gram
Apple,116,0,30.8,0,0,5.4,Item
Craisins,3.25,0,0.825,0,0,0.075,Gram
Olives,5,0,0.2,0.5,0,0,Item
Small Corn Tortilla,50,1,10,0.75,0,1.5,Item
Franz Steel Cut Oat ,100,5,19,1.5,0,3,Item
Orowheat Whole Grain English Muffin,150,6,28,1.5,0,4,Item
White Quinoa,688,24,124,11.2,0,12,Dry Cup
Red Quinoa,720,24,132,12,0,24,Dry Cup
Oatmeal,300,10,54,6,1,8,Dry Cup
La Brea White Baguette,2.542372881,0.084745763,0.525423729,0,0,0.016949153,Gram
La Brea Wheat Baguette,2.631578947,0.087719298,0.578947368,0,0,0.035087719,Gram
La Brea Sourdough ,2.631578947,0.087719298,0.578947368,0,0,0.01754386,Gram
Triscuit,20,0.5,3.166666667,0.75,0.166666667,0.5,Item
Brown Rice,218,4.5,45.8,1.6,0.3,3.5,Cooked Cup
White Rice,242,4.4,53.2,0.4,0.1,0.6,Cooked Cup
"12"" White Tortilla",233,2.8,26.9,6.7,1,2.8,Item
Ritz Cracker,16,0,2,0.9,0.2,0,Item
Skinless Chicken Breast,1.64,0.321333333,0,0.03,0.003333333,0,Gram
Pork Tenderloin,1.435294118,0.261176471,0,0.035294118,0.011764706,0,Gram
"Beef, Eye Round",1.682352941,0.289411765,0,0.049411765,0.017647059,0,Gram
Beef Top Sirloin,1.858823529,0.303529412,0,0.062352941,0.023529412,0,Gram
Pork Chops,1.929411765,0.311764706,0,0.067058824,0.022352941,0,Gram
Chicken Breast with Skin,1.971428571,0.297857143,0,0.077857143,0.022142857,0,gram
Flank Steak,1.941176471,0.277647059,0,0.083529412,0.034117647,0,Gram
Beef Tenderloin,2.058823529,0.289411765,0,0.091764706,0.035294118,0,Gram
T-Bone,1.976470588,0.272941176,0,0.089411765,0.032941176,0,Gram
Skinless Chicken Thigh,1.945454545,0.250909091,0,0.098181818,0.027272727,0,Gram
Ground Beef,2.505882353,0.258823529,0,0.155294118,0.058823529,0,Gram
Chicken Thigh With Skin,2.467741935,0.25,0,0.15483871,0.043548387,0,gram
Eggs,72,6.3,0.4,5,1.6,0,Item
Chuck Steak,3.447058824,0.265882353,0,0.256470588,0.102352941,0,Gram
GNC AMP Wheybolic,93.33333333,20,2.333333333,0.333333333,0.166666667,0.333333333,Item
Promax Double Fudge Bar,280,20,37,7,6,2,Item
Spinach,0.233333333,0.03,0.036666667,0.003333333,0,0.023333333,gram
Raw Broccoli,0.284090909,0.029545455,0.052272727,0.003409091,0,0.026136364,gram
Radish,1,0.1,0.3,0,0,0.1,Item
